25.9,
27.2,
26.1,
26.9,
27.6,
26.8,
26.7,
29,
32.8,
27,
26.5,
28.8,
26.9,
26.6,
24.6,
26.3,
25.7,
27,
25.8,
25,
27.4,
25,
28,
27.3,
28,
26.2,
26.6,
26.5,
27.3,
26.8
